"gene","tau","log_fc_est","sd_est","Z_est","p_cross","ct_prop","expr","q_val","p","cell_type","cell_type_long"
"MFSD10",0.000688764952131398,0.492228292943768,0.0992634201940502,4.95880851154947,0.277877944458919,0.667847743012939,3.41186013449904e-05,0.000132766168208,7.09268344349917e-07,"ExN","Newly born excit. (ExN)"
"ELF2",0.00208267648903243,0.490357887539327,0.117497050424747,4.17336338032916,0.620316567574945,0.684459754333269,0.000116029064403502,0.00214025314080657,3.00135665822624e-05,"ExN","Newly born excit. (ExN)"
"DYNC1LI1",0.16567007267419,-0.487092091303853,0.157076889955297,-3.10097870821402,0.0177512071911019,0.936510787375621,0.000135092146471387,0.0542465380131795,0.0019288215928446,"ExN","Newly born excit. (ExN)"
"CPSF7",0.0401128244803483,0.484400338439466,0.0894505398615465,5.41528691933253,0.413348168773846,0.852939022944211,3.49179782688764e-05,1.52721298201994e-05,6.11905034532197e-08,"ExN","Newly born excit. (ExN)"
"EIF3L",0.0709034339257811,-0.481573173835495,0.0677751904187774,-7.10544921910058,0.0144305792403811,0.667110446591362,4.65032720832971e-05,1.19731911311581e-09,1.19931797640983e-12,"ExN","Newly born excit. (ExN)"
"TOMM7",0.19863960126632,-0.480077893406554,0.148043129539788,-3.24282453970637,1.33117373843377e-26,0.757090305057187,0.000223577067896433,0.0385284196509485,0.00118351072049658,"ExN","Newly born excit. (ExN)"
"DIDO1",0.0802138839644622,0.47912274136012,0.113659507910742,4.2154215706827,0.300990291403929,0.825752431624642,6.71468294497941e-05,0.00195018686237788,2.49312026075623e-05,"ExN","Newly born excit. (ExN)"
"FAM160A2",0,0.474699205452312,0.147494140905477,3.21842754253219,0.985758339837879,0.593385539589903,1.406671995809e-05,0.0402127206837348,0.00128895532074743,"ExN","Newly born excit. (ExN)"
"BMT2",0.170259124500382,-0.474549256600147,0.169047867427257,-2.80718866095338,0.0224170889448991,0.94668214249659,2.87749663713005e-05,0.0965664577808304,0.00499759631253046,"ExN","Newly born excit. (ExN)"
"PRKCI",0.0104906482871554,-0.468831288196322,0.11906972660204,-3.9374516224705,0.289153064316733,0.884066984549248,0.00010210502461366,0.00536180054749972,8.23515276076751e-05,"ExN","Newly born excit. (ExN)"
"WDR86",0.144674529645565,0.467538743977753,0.159152161228603,2.93768391436539,0.00262552279294189,1,2.62093953527425e-05,0.0779817756683993,0.00330673973618922,"ExN","Newly born excit. (ExN)"
"MYCN",0.0858543424256141,0.465981157827312,0.106139902811929,4.39025423504477,0.104705674340753,0.623852427367761,3.81148539655395e-05,0.000997319245395499,1.13218211497319e-05,"ExN","Newly born excit. (ExN)"
"COX7A2L",0.173044976077989,-0.465175815546184,0.137499911040705,-3.38309902912209,1.00928612843323e-06,0.605492465517784,0.000105415102856703,0.0255547601512832,0.000716727830620298,"ExN","Newly born excit. (ExN)"
"FBRSL1",0.159556516495967,0.464602452254706,0.149527820632744,3.10713050112473,0.011122640139759,0.608238642114131,1.89663017807922e-05,0.0538851795083607,0.00188912983251348,"ExN","Newly born excit. (ExN)"
